id,start_frame,end_frame_exclusive,blender_start,blender_end_inclusive,start_seconds,end_seconds,duration_frames,title,setup,action,composition,motion,typography,evidence
S01,0,42,1,42,0.0,1.75,42,Curiosity through chocolate,TUNNEL_CLOSE,"Chocolate folds frame fictional host A. Upward gaze, small head tilt, emerging smile.","Normal close, fixed camera; near rim, receding folds, host, plum background.",No dolly or camera roll. Head and eyes move only; no eating yet.,Header: VELUNE / The Centre Report.,P: new adaptation; exact cut boundaries inherited from source analysis
S02,42,51,43,51,1.75,2.125,9,Pistachio box,BOX,"Pistachio Praline carton on plum pedestal, short rigid yaw.",75 mm proposal; fixed camera and contact plane; preserve source mattes.,Yaw -9° to +9° about Z; near-linear. No bounce or airborne entry.,Exact cocoa wordmark; pistachio face.,P: new adaptation; exact cut boundaries inherited from source analysis
S03,51,60,52,60,2.125,2.5,9,Raspberry box,BOX,Hard replacement with Raspberry Ganache carton; identical silhouette and staging.,"Same camera, lens, lights, pedestal, crop and object pivot as S02.",Yaw -9° to +9°; hard asset replacement at n51. No colour morph.,Exact cream wordmark; raspberry face.,P: new adaptation; exact cut boundaries inherited from source analysis
S04,60,69,61,69,2.5,2.875,9,Caramel box,BOX,Hard replacement with Salted Caramel carton.,Same camera and staging; do not zoom or re-centre.,Yaw -9° to +9°; hard replacement at n60.,Exact cocoa wordmark; caramel face.,P: new adaptation; exact cut boundaries inherited from source analysis
S05,69,113,70,113,2.875,4.708333333333333,44,The question becomes chocolate,QUESTION,"Bare tasting fork low-centre. Twelve bonbons appear into a question mark, then merge into a thick chocolate spread.",Fixed orthographic action-plane view; pale pistachio field; hand/handle lower centre.,Bare n69–78; births n79–90; clear question n91–92; bridging n93–99; opening fills n100; spread lands n112.,No text. Keep the implied question opening legible before the melt.,P: new adaptation; exact cut boundaries inherited from source analysis
S06,113,140,114,140,4.708333333333333,5.833333333333333,27,The centre reveal,MACRO,One enlarged pistachio-filled chocolate half on an upright stainless tasting fork. Two observers move behind it.,"85 mm proposal; hero cut-face sharp, observers soft, dark warm background; side mattes.",Product and handle fixed; background observer arrangement changes from lower-left/upper-right to upper-left/lower-right.,No label or text. No fresh break action: the chocolate enters already opened.,P: new adaptation; exact cut boundaries inherited from source analysis
S07,140,190,141,190,5.833333333333333,7.916666666666667,50,The discovery studio,LAB,Two specimen stacks: three whole bonbons left and two right on a plinth. Pull back to reveal two chocolatiers and a tasting console.,"50 mm proposal; fixed close n140–163, backward camera route n164–189.",World-fixed stacks; subtle shoulder gestures only. Left stack always taller. No internal cut; no digital zoom.,No text; central product spotlight.,P: new adaptation; exact cut boundaries inherited from source analysis
S08,190,207,191,207,7.916666666666667,8.625,17,Raspberry,INGREDIENT,One raspberry rotates on the plum pedestal.,"75 mm proposal; ingredient at lower centre, generous upper negative space.","Yaw -7° to +7°, linear; stable surface contact.","No text; natural seeds/drupelets, not strawberry skin.",P: new adaptation; exact cut boundaries inherited from source analysis
S09,207,223,208,223,8.625,9.291666666666666,16,Pistachio,INGREDIENT,One opened pistachio shell with its visible green kernel replaces the raspberry.,"Same camera, crop, support and lighting.",Yaw -7° to +7°; hard swap; no shell-opening action in this shot.,No text; kernel and shell form one contact-stable assembly.,P: new adaptation; exact cut boundaries inherited from source analysis
S10,223,242,224,242,9.291666666666666,10.083333333333334,19,Filled chocolate serving,INGREDIENT,One whole bonbon behind one opened salted-caramel half on a low cream dish.,"Same product stage; centre-facing cut surface, two-piece arrangement remains stable.","Yaw -7° to +7° as one rigid assembly. Caramel stays contained, no stream or splash.",No text. Visible shell thickness and amber centre.,P: new adaptation; exact cut boundaries inherited from source analysis
S11,242,314,243,314,10.083333333333334,13.083333333333334,72,The Centre Report,REPORT,"One printed plum artwork card: fictional report title, three cartons, centre illustrations, 03 CENTRES badge.",Front-facing planar artwork; 3 seconds protected; source side mattes.,"Small initial rock decays by n254, then quiet reading hold. All printed elements move together.",VELUNE; The Centre Report; The Filled Collection; 03 CENTRES; EDITION 01.,P: new adaptation; exact cut boundaries inherited from source analysis
S12,314,360,315,360,13.083333333333334,15.0,46,Wonder within,TUNNEL_WIDE,"Wide view of the chocolate-fold tunnel. Host A tastes one small piece with a fork, then a subtle pleased response.","Separate locked 30 mm proposal, full-width; person central, tagline right of aperture.","Small fork withdrawal and facial gesture only. No new camera move, no fade, no end frame added.",Wonder within. Persistent from first shot frame through n359.,P: new adaptation; exact cut boundaries inherited from source analysis
